City,Title,Recruitment_period,Education_period,Date,Quota,Institution,Address,Tel,Detail,Fee,Post
인천 서구,(연습용) 라인댄스,2025.05.13 09시 00분 ~ 2025.06.08 18시 00분,2025-04-01 ~ 2025-06-23,"화,목 15:00~16:00",Not found,가정1동,가정1동 행정복지센터 4층 다목적실1,032-718-3719,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  37,500원
한부모가족 :  37,500원
차상위 :  37,500원",
인천 서구,인터넷접수연습(테스트강좌),2025.04.23 09시 00분 ~ 2025.05.23 16시 00분,제한없음,Not found,Not found,연희동,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  무료
한부모가족 :  무료
차상위 :  무료",Not found,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,무료,
인천 서구,통기타교실,2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,금 10:00~12:00,Not found,가정2동,대회의실,032-718-3760,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  30,000원
한부모가족 :  30,000원
차상위 :  30,000원
의사상자 :  무료",
인천 서구,어반스케치(오전),2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,월 10:00~12:00,Not found,가정2동,다목적실1,032-718-3760,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  37,500원
한부모가족 :  37,500원
차상위 :  37,500원
의사상자 :  무료",
인천 서구,손뜨개질,2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,목 13:00~15:00,Not found,가정2동,강의실2,032-718-3760,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  30,000원
한부모가족 :  30,000원
차상위 :  30,000원
의사상자 :  무료",
인천 서구,라인댄스,2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,"화,목 13:00~14:00",Not found,가정2동,다목적실2,032-718-3760,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  30,000원
한부모가족 :  30,000원
차상위 :  30,000원
의사상자 :  무료",
인천 서구,요가(중급),2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,"월,수,금 11:00~12:00",Not found,가정2동,다목적실2,032-718-3760,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  45,000원
한부모가족 :  45,000원
차상위 :  45,000원
의사상자 :  무료",
인천 서구,요가(초급),2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,"월,수,금 10:00~11:00",Not found,가정2동,다목적실2,032-718-3760,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  45,000원
한부모가족 :  45,000원
차상위 :  45,000원
의사상자 :  무료",
인천 서구,탁구(중급),2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,"화,목 11:10~12:40",Not found,가정2동,강의실1,032-718-3760,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  45,000원
한부모가족 :  45,000원
차상위 :  45,000원
의사상자 :  무료",
인천 서구,탁구(초급),2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,"화,목 9:30~11:00",Not found,가정2동,강의실1,032-718-3760,https://www.seo.incheon.kr/open_content/anyedu/education/dong.jsp?acptrun=y#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  45,000원
한부모가족 :  45,000원
차상위 :  45,000원
의사상자 :  무료",
인천 서구,프롭테라피(바른자세&통증치료),2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,"월,수 12:00~13:00",Not found,가정2동,다목적실2,032-718-3760,https://www.seo.incheon.kr/lll/program/programInfoList.do?prgmdiv=dong&acptrun=y&pgno=2#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  30,000원
한부모가족 :  30,000원
차상위 :  30,000원
의사상자 :  무료",
인천 서구,생활영어,2025.03.10 09시 00분 ~ 2025.03.11 18시 00분,2025-04-01 ~ 2025-06-23,화 14:30~16:30,Not found,가정2동,다목적실1,032-718-3760,https://www.seo.incheon.kr/lll/program/programInfoList.do?prgmdiv=dong&acptrun=y&pgno=2#,"국가유공자 :  무료
기초생활수급자 (생계/의료) :  무료
장애인 :  무료
기초생활수급자(주거/교육) :  30,000원
한부모가족 :  30,000원
차상위 :  30,000원
의사상자 :  무료",
